               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                   0,             0.12068,             0.55336,                   0,            0.054444,            0.076087,            0.030015,           0.0067047,             0.11654,             0.99103,                   0,              0.0991,              0.0001,              0.0001,           0.0067047,            0.030015
                   1,             0.12086,             0.43685,                   0,            0.057778,            0.080745,            0.032523,           0.0081499,             0.11663,             0.95081,                   0,            0.097294,          0.00029406,          0.00029406,           0.0081499,            0.032523
                   2,             0.11932,             0.44033,                   0,            0.082222,             0.11491,            0.048004,            0.012432,             0.11638,              0.9032,                   0,             0.09548,           0.0004802,           0.0004802,            0.012432,            0.048004
                   3,             0.11854,             0.42485,                   0,            0.086667,             0.12112,            0.052029,            0.012267,             0.11609,             0.84222,                   0,            0.093658,          0.00065842,          0.00065842,            0.012267,            0.052029
                   4,             0.11859,              0.5275,                   0,            0.094444,             0.13199,            0.058199,            0.013597,             0.11584,               0.771,                   0,            0.091829,          0.00082872,          0.00082872,            0.013597,            0.058199
                   5,             0.11856,             0.47546,                   0,             0.11111,             0.15528,            0.072952,            0.016114,             0.11561,             0.71545,                   0,            0.089991,           0.0009911,           0.0009911,            0.016114,            0.072952
                   6,             0.11689,             0.48623,                   0,             0.15778,              0.2205,            0.098069,            0.024285,             0.11556,             0.74768,                   0,            0.088146,           0.0011456,           0.0011456,            0.024285,            0.098069
                   7,             0.11488,             0.42654,                   0,             0.16667,             0.23292,             0.10446,            0.024152,             0.11427,             0.89044,                   0,            0.086292,           0.0012921,           0.0012921,            0.024152,             0.10446
                   8,             0.11381,             0.45664,                   0,             0.16333,             0.22826,             0.10273,            0.024363,             0.11401,              1.0036,                   0,            0.084431,           0.0014307,           0.0014307,            0.024363,             0.10273
                   9,             0.11292,             0.44541,                   0,             0.15333,             0.21429,             0.09451,            0.023869,             0.11364,              1.1384,                   0,            0.082561,           0.0015614,           0.0015614,            0.023869,             0.09451
                  10,             0.11227,             0.49208,                   0,             0.14444,             0.20186,            0.087532,            0.021181,             0.11287,              1.1841,                   0,            0.080684,           0.0016842,           0.0016842,            0.021181,            0.087532
                  11,             0.11009,                 0.4,                   0,             0.13222,             0.18478,             0.08131,            0.020756,             0.11161,              1.0964,                   0,            0.078799,           0.0017991,           0.0017991,            0.020756,             0.08131
                  12,             0.11233,             0.44973,                   0,             0.10111,              0.1413,            0.057869,            0.012687,             0.11096,             0.99792,                   0,            0.076906,            0.001906,            0.001906,            0.012687,            0.057869
                  13,             0.10962,             0.39534,                   0,                0.09,             0.12578,            0.050664,            0.010943,             0.10981,              0.9234,                   0,            0.075005,            0.002005,            0.002005,            0.010943,            0.050664
                  14,             0.10963,             0.41487,                   0,            0.074444,             0.10404,            0.041217,           0.0081777,             0.11021,             0.86102,                   0,            0.073096,           0.0020961,           0.0020961,           0.0081777,            0.041217
