               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                   0,             0.12068,             0.55332,                   0,            0.053333,            0.074534,            0.029436,           0.0065197,             0.11654,             0.99146,                   0,              0.0991,              0.0001,              0.0001,           0.0065197,            0.029436
                   1,             0.12086,             0.43678,                   0,            0.057778,            0.080745,            0.032603,            0.008377,             0.11662,              0.9519,                   0,            0.097299,          0.00029901,          0.00029901,            0.008377,            0.032603
                   2,             0.11933,             0.43983,                   0,            0.083333,             0.11646,            0.048704,            0.012219,             0.11622,             0.90906,                   0,            0.095497,           0.0004967,           0.0004967,            0.012219,            0.048704
                   3,             0.11852,              0.4241,                   0,            0.084444,             0.11801,            0.049168,            0.011908,             0.11591,             0.84924,                   0,            0.093693,          0.00069307,          0.00069307,            0.011908,            0.049168
                   4,              0.1187,             0.52131,                   0,             0.10333,             0.14441,            0.067509,            0.013765,             0.11596,             0.76672,                   0,            0.091888,          0.00088812,          0.00088812,            0.013765,            0.067509
                   5,             0.11831,             0.47224,                   0,             0.12889,             0.18012,            0.086972,             0.01735,             0.11578,             0.71375,                   0,            0.090082,           0.0010819,           0.0010819,             0.01735,            0.086972
                   6,             0.11691,             0.47719,                   0,             0.17889,                0.25,             0.11616,            0.028248,             0.11469,             0.78711,                   0,            0.088274,           0.0012743,           0.0012743,            0.028248,             0.11616
                   7,             0.11453,             0.42242,                   0,             0.18556,             0.25932,             0.12331,             0.02813,             0.11346,               1.042,                   0,            0.086465,           0.0014653,           0.0014653,             0.02813,             0.12331
                   8,              0.1133,             0.45317,                   0,             0.16889,             0.23602,             0.11152,            0.026289,             0.11271,               1.125,                   0,            0.084655,           0.0016551,           0.0016551,            0.026289,             0.11152
                   9,              0.1121,             0.44163,                   0,             0.15778,              0.2205,              0.1014,            0.025625,             0.11142,              1.1133,                   0,            0.082844,           0.0018436,           0.0018436,            0.025625,              0.1014
                  10,             0.11172,             0.48201,                   0,                0.16,              0.2236,             0.10718,            0.026986,             0.11022,              1.0945,                   0,            0.081031,           0.0020307,           0.0020307,            0.026986,             0.10718
                  11,             0.10931,             0.39447,                   0,             0.13778,             0.19255,            0.091881,            0.022643,             0.10914,             0.98486,                   0,            0.079217,           0.0022165,           0.0022165,            0.022643,            0.091881
                  12,             0.11116,             0.44813,                   0,             0.15111,             0.21118,            0.093483,            0.019034,             0.10805,             0.99164,                   0,            0.077401,            0.002401,            0.002401,            0.019034,            0.093483
                  13,             0.10804,             0.39721,                   0,             0.14444,             0.20186,            0.087336,            0.017107,             0.10714,             0.90631,                   0,            0.075584,           0.0025842,           0.0025842,            0.017107,            0.087336
                  14,             0.10785,             0.41278,                   0,             0.13556,             0.18944,            0.080757,            0.018218,             0.10619,             0.85144,                   0,            0.073766,            0.002766,            0.002766,            0.018218,            0.080757
                  15,             0.10565,             0.53177,                   0,             0.13222,             0.18478,              0.0795,            0.017777,             0.10543,             0.93787,                   0,            0.071947,           0.0029465,           0.0029465,            0.017777,              0.0795
                  16,             0.10198,             0.41823,                   0,             0.15256,             0.20807,            0.095587,            0.021237,             0.10431,             0.92712,                   0,            0.070126,           0.0031258,           0.0031258,            0.021237,            0.095587
                  17,            0.098359,             0.37495,                   0,             0.18444,             0.25776,             0.17555,            0.045766,             0.10341,             0.76331,                   0,            0.068304,           0.0033037,           0.0033037,            0.045766,             0.17555
